日付,部署,商品,金額
2023/10/01,営業部,商品E,78490
2023/10/01,開発部,商品E,47487
2023/10/01,総務部,商品B,47655
2023/10/01,営業部,商品D,58653
2023/10/03,マーケティング部,商品C,19965
2023/10/04,営業部,商品D,95792
2023/10/04,開発部,商品D,95403
2023/10/06,開発部,商品D,36170
2023/10/07,総務部,商品D,57483
2023/10/07,営業部,商品E,76918
2023/10/08,マーケティング部,商品D,55943
2023/10/08,開発部,商品C,37102
2023/10/08,開発部,商品B,91080
2023/10/09,マーケティング部,商品B,20986
2023/10/09,開発部,商品C,20490
2023/10/09,マーケティング部,商品C,97773
2023/10/09,マーケティング部,商品D,83815
2023/10/10,マーケティング部,商品C,34775
2023/10/12,総務部,商品C,39661
2023/10/12,開発部,商品E,45268
2023/10/12,開発部,商品A,25712
2023/10/13,マーケティング部,商品E,36255
2023/10/13,開発部,商品B,51383
2023/10/14,総務部,商品E,46118
2023/10/14,営業部,商品E,19487
2023/10/14,総務部,商品E,80208
2023/10/16,マーケティング部,商品A,18399
2023/10/16,開発部,商品C,70142
2023/10/16,営業部,商品C,18854
2023/10/17,マーケティング部,商品C,82165
2023/10/17,開発部,商品E,32214
2023/10/17,営業部,商品A,21818
2023/10/17,総務部,商品C,25336
2023/10/18,マーケティング部,商品B,58524
2023/10/18,マーケティング部,商品C,50193
2023/10/18,総務部,商品E,86406
2023/10/18,開発部,商品D,51139
2023/10/19,営業部,商品D,27548
2023/10/19,総務部,商品C,80268
2023/10/19,総務部,商品D,28096
2023/10/19,営業部,商品C,32942
2023/10/20,営業部,商品B,61000
2023/10/20,営業部,商品D,62513
2023/10/20,総務部,商品E,17531
2023/10/20,開発部,商品D,62947
2023/10/20,総務部,商品D,85303
2023/10/21,営業部,商品B,21382
2023/10/22,マーケティング部,商品B,64162
2023/10/22,営業部,商品C,41359
2023/10/22,マーケティング部,商品E,13584
2023/10/26,開発部,商品A,38109
2023/10/26,総務部,商品E,85352
2023/10/28,営業部,商品B,68536
2023/10/28,総務部,商品D,33969
2023/10/30,営業部,商品D,90455
2023/10/31,営業部,商品A,29048
2023/10/31,開発部,商品D,67536
