日付,部署,商品,金額
2023/04/01,総務部,商品B,42707
2023/04/01,開発部,商品B,93648
2023/04/01,総務部,商品C,50756
2023/04/03,営業部,商品C,12631
2023/04/03,マーケティング部,商品E,62082
2023/04/04,営業部,商品C,80968
2023/04/05,総務部,商品A,41194
2023/04/05,営業部,商品D,20271
2023/04/05,総務部,商品C,18783
2023/04/05,開発部,商品E,87061
2023/04/05,総務部,商品D,52056
2023/04/06,営業部,商品A,53397
2023/04/06,開発部,商品B,35260
2023/04/07,開発部,商品D,82628
2023/04/08,営業部,商品A,61498
2023/04/09,マーケティング部,商品A,39878
2023/04/09,マーケティング部,商品E,94614
2023/04/10,マーケティング部,商品B,22712
2023/04/10,営業部,商品D,25139
2023/04/10,マーケティング部,商品D,74106
2023/04/11,総務部,商品A,19725
2023/04/11,開発部,商品D,31090
2023/04/11,マーケティング部,商品A,66534
2023/04/12,総務部,商品B,93386
2023/04/12,マーケティング部,商品A,72847
2023/04/12,営業部,商品D,21485
2023/04/13,マーケティング部,商品D,31802
2023/04/13,マーケティング部,商品E,89817
2023/04/13,開発部,商品E,89777
2023/04/14,開発部,商品E,17993
2023/04/15,営業部,商品C,67637
2023/04/15,総務部,商品B,45200
2023/04/15,営業部,商品E,87014
2023/04/16,総務部,商品A,61747
2023/04/16,営業部,商品B,46099
2023/04/17,マーケティング部,商品A,64321
2023/04/18,マーケティング部,商品B,58630
2023/04/18,マーケティング部,商品E,40886
2023/04/18,総務部,商品C,78116
2023/04/19,マーケティング部,商品B,17144
2023/04/19,営業部,商品B,97486
2023/04/19,営業部,商品A,83752
2023/04/21,開発部,商品E,66911
2023/04/22,マーケティング部,商品B,92211
2023/04/22,マーケティング部,商品A,61877
2023/04/23,営業部,商品C,43640
2023/04/24,営業部,商品E,22203
2023/04/24,総務部,商品C,48980
2023/04/24,マーケティング部,商品C,58816
2023/04/25,営業部,商品C,80206
2023/04/26,営業部,商品A,16310
2023/04/26,開発部,商品B,69151
2023/04/27,マーケティング部,商品E,64870
2023/04/29,営業部,商品C,68540
2023/04/29,マーケティング部,商品D,59638
2023/04/29,総務部,商品A,94130
2023/04/29,マーケティング部,商品C,34455
2023/04/29,営業部,商品E,84870
2023/04/29,開発部,商品A,68856
2023/04/29,総務部,商品D,44620
2023/04/29,総務部,商品B,16460
