日付,部署,商品,金額
2023/03/01,マーケティング部,商品D,32650
2023/03/01,総務部,商品E,36406
2023/03/02,開発部,商品C,29441
2023/03/02,開発部,商品B,35969
2023/03/03,開発部,商品C,89076
2023/03/03,開発部,商品C,61936
2023/03/03,営業部,商品B,88861
2023/03/05,開発部,商品D,81057
2023/03/05,開発部,商品A,78982
2023/03/06,営業部,商品C,88265
2023/03/06,開発部,商品E,51681
2023/03/06,マーケティング部,商品D,95089
2023/03/07,マーケティング部,商品B,22055
2023/03/07,開発部,商品E,12559
2023/03/08,営業部,商品D,23357
2023/03/08,営業部,商品C,17679
2023/03/08,開発部,商品C,79951
2023/03/08,営業部,商品E,72650
2023/03/09,営業部,商品A,18450
2023/03/09,マーケティング部,商品B,14541
2023/03/09,マーケティング部,商品B,64949
2023/03/10,マーケティング部,商品C,25717
2023/03/10,開発部,商品D,14975
2023/03/11,総務部,商品C,27884
2023/03/11,開発部,商品E,90440
2023/03/11,開発部,商品E,23645
2023/03/12,開発部,商品B,46042
2023/03/13,総務部,商品D,81371
2023/03/14,マーケティング部,商品A,21497
2023/03/15,総務部,商品D,25825
2023/03/17,営業部,商品C,44100
2023/03/17,総務部,商品D,45446
2023/03/18,総務部,商品B,69233
2023/03/19,開発部,商品D,50215
2023/03/20,開発部,商品C,75390
2023/03/21,営業部,商品E,86823
2023/03/23,総務部,商品E,83873
2023/03/23,マーケティング部,商品E,23242
2023/03/24,総務部,商品B,33292
2023/03/24,営業部,商品E,61327
2023/03/25,開発部,商品B,23124
2023/03/26,開発部,商品A,11567
2023/03/26,マーケティング部,商品C,84141
2023/03/26,マーケティング部,商品E,56849
2023/03/26,総務部,商品E,13697
2023/03/26,開発部,商品C,33260
2023/03/26,総務部,商品B,97232
2023/03/27,開発部,商品A,63004
2023/03/27,マーケティング部,商品C,99952
2023/03/27,営業部,商品B,85457
2023/03/28,マーケティング部,商品E,82105
2023/03/28,マーケティング部,商品C,32768
2023/03/28,総務部,商品A,58967
2023/03/28,営業部,商品B,88956
2023/03/29,総務部,商品A,15596
2023/03/30,マーケティング部,商品D,75028
2023/03/30,総務部,商品A,12872
2023/03/31,マーケティング部,商品A,32018
