日付,部署,商品,金額
2023/01/01,営業部,商品A,44365
2023/01/03,マーケティング部,商品A,69424
2023/01/05,総務部,商品A,13847
2023/01/06,マーケティング部,商品C,37925
2023/01/07,営業部,商品A,62163
2023/01/10,営業部,商品E,36633
2023/01/11,総務部,商品C,27973
2023/01/11,開発部,商品B,46302
2023/01/11,マーケティング部,商品C,78662
2023/01/12,総務部,商品B,60703
2023/01/13,開発部,商品B,18966
2023/01/13,営業部,商品B,75481
2023/01/13,営業部,商品C,67342
2023/01/14,マーケティング部,商品A,93956
2023/01/16,総務部,商品E,77793
2023/01/17,営業部,商品E,95199
2023/01/17,総務部,商品E,64451
2023/01/18,開発部,商品C,20957
2023/01/19,マーケティング部,商品C,66280
2023/01/20,総務部,商品A,96298
2023/01/20,開発部,商品D,48737
2023/01/20,営業部,商品C,97304
2023/01/21,開発部,商品D,90750
2023/01/21,営業部,商品B,82534
2023/01/21,営業部,商品B,74865
2023/01/21,営業部,商品E,11581
2023/01/22,マーケティング部,商品B,21362
2023/01/22,開発部,商品D,19567
2023/01/23,開発部,商品A,31473
2023/01/24,開発部,商品A,42044
2023/01/24,開発部,商品A,11660
2023/01/26,開発部,商品E,52827
2023/01/26,総務部,商品B,58741
2023/01/28,マーケティング部,商品C,81612
2023/01/29,営業部,商品B,26142
2023/01/29,総務部,商品B,77862
