日付,部署,商品,金額
2023/06/01,営業部,商品B,39657
2023/06/02,営業部,商品D,45851
2023/06/03,営業部,商品E,97690
2023/06/03,営業部,商品C,94454
2023/06/03,総務部,商品C,11620
2023/06/04,マーケティング部,商品E,87158
2023/06/04,営業部,商品A,28139
2023/06/04,マーケティング部,商品D,16025
2023/06/05,開発部,商品C,63633
2023/06/05,営業部,商品B,23593
2023/06/06,マーケティング部,商品A,39939
2023/06/06,営業部,商品E,75058
2023/06/06,営業部,商品D,62461
2023/06/07,開発部,商品E,30766
2023/06/07,総務部,商品D,48712
2023/06/08,開発部,商品B,12872
2023/06/08,営業部,商品A,98032
2023/06/08,マーケティング部,商品C,44619
2023/06/09,営業部,商品E,16286
2023/06/10,開発部,商品E,33741
2023/06/10,営業部,商品D,26769
2023/06/10,マーケティング部,商品A,29762
2023/06/10,開発部,商品A,15992
2023/06/10,総務部,商品D,78195
2023/06/11,開発部,商品C,93165
2023/06/11,マーケティング部,商品C,34697
2023/06/12,開発部,商品C,65112
2023/06/13,営業部,商品E,43126
2023/06/14,マーケティング部,商品D,66233
2023/06/14,マーケティング部,商品E,98918
2023/06/15,営業部,商品A,32898
2023/06/15,総務部,商品D,72684
2023/06/15,開発部,商品E,59774
2023/06/16,営業部,商品E,86062
2023/06/16,営業部,商品B,90541
2023/06/16,マーケティング部,商品A,14944
2023/06/16,開発部,商品B,99881
2023/06/16,開発部,商品A,77070
2023/06/17,営業部,商品D,79446
2023/06/17,営業部,商品C,24943
2023/06/17,営業部,商品D,96732
2023/06/18,マーケティング部,商品C,76494
2023/06/18,開発部,商品C,11845
2023/06/19,総務部,商品D,25437
2023/06/19,マーケティング部,商品B,51469
2023/06/19,開発部,商品A,58049
2023/06/20,営業部,商品D,35499
2023/06/20,総務部,商品D,27536
2023/06/20,開発部,商品D,23751
2023/06/20,開発部,商品C,78569
2023/06/21,営業部,商品C,65164
2023/06/22,総務部,商品A,39131
2023/06/22,営業部,商品A,16322
2023/06/22,営業部,商品E,45386
2023/06/22,開発部,商品C,56861
2023/06/23,総務部,商品C,26899
2023/06/23,営業部,商品D,93928
2023/06/23,営業部,商品D,68237
2023/06/23,開発部,商品C,78039
2023/06/24,総務部,商品E,33995
2023/06/24,開発部,商品D,55318
2023/06/25,総務部,商品E,13777
2023/06/26,総務部,商品C,44152
2023/06/26,営業部,商品D,36037
2023/06/26,総務部,商品D,25191
2023/06/26,マーケティング部,商品B,24818
2023/06/28,開発部,商品A,73908
2023/06/28,営業部,商品C,57214
2023/06/28,開発部,商品D,73979
2023/06/29,総務部,商品E,34979
2023/06/29,マーケティング部,商品E,45167
2023/06/29,営業部,商品C,54921
2023/06/30,開発部,商品D,53332
