日付,部署,商品,金額
2023/07/01,営業部,商品D,64046
2023/07/01,営業部,商品C,68414
2023/07/02,営業部,商品A,89194
2023/07/02,営業部,商品B,44993
2023/07/02,営業部,商品C,36619
2023/07/03,マーケティング部,商品D,85108
2023/07/03,開発部,商品D,81182
2023/07/04,営業部,商品B,10287
2023/07/04,営業部,商品D,29048
2023/07/04,開発部,商品E,60972
2023/07/05,開発部,商品E,81105
2023/07/07,マーケティング部,商品C,57624
2023/07/07,営業部,商品C,69322
2023/07/08,マーケティング部,商品D,40801
2023/07/08,総務部,商品A,60014
2023/07/08,開発部,商品C,53393
2023/07/08,開発部,商品A,99463
2023/07/09,開発部,商品A,48684
2023/07/11,総務部,商品A,76444
2023/07/11,営業部,商品D,95638
2023/07/11,マーケティング部,商品C,69314
2023/07/11,総務部,商品C,81786
2023/07/12,総務部,商品B,91039
2023/07/13,総務部,商品E,60418
2023/07/13,マーケティング部,商品C,82368
2023/07/13,営業部,商品D,46583
2023/07/14,開発部,商品C,62149
2023/07/15,営業部,商品D,68598
2023/07/15,開発部,商品A,34507
2023/07/15,開発部,商品A,30146
2023/07/17,総務部,商品A,16000
2023/07/17,営業部,商品E,66729
2023/07/17,開発部,商品B,78236
2023/07/17,マーケティング部,商品E,95105
2023/07/18,マーケティング部,商品E,84794
2023/07/18,総務部,商品B,31093
2023/07/18,総務部,商品A,51662
2023/07/18,マーケティング部,商品A,55796
2023/07/19,総務部,商品A,53327
2023/07/20,開発部,商品B,25826
2023/07/20,総務部,商品E,51144
2023/07/20,総務部,商品C,98129
2023/07/20,マーケティング部,商品B,93071
2023/07/22,マーケティング部,商品B,83183
2023/07/22,開発部,商品D,10568
2023/07/23,開発部,商品B,23573
2023/07/23,開発部,商品B,37487
2023/07/23,総務部,商品A,56168
2023/07/23,総務部,商品E,81645
2023/07/24,開発部,商品B,48558
2023/07/25,マーケティング部,商品C,41574
2023/07/25,マーケティング部,商品A,93000
2023/07/25,開発部,商品C,99573
2023/07/25,総務部,商品D,85061
2023/07/26,開発部,商品B,64099
2023/07/27,営業部,商品B,69566
2023/07/27,マーケティング部,商品A,43330
2023/07/27,開発部,商品C,24125
2023/07/27,営業部,商品D,69950
2023/07/27,マーケティング部,商品E,33226
2023/07/28,マーケティング部,商品B,19812
2023/07/29,営業部,商品A,94331
2023/07/29,開発部,商品D,28408
2023/07/29,マーケティング部,商品A,78515
2023/07/29,総務部,商品D,24860
2023/07/30,開発部,商品E,71510
2023/07/30,マーケティング部,商品B,69905
2023/07/30,総務部,商品E,16665
2023/07/31,総務部,商品E,83706
2023/07/31,総務部,商品C,69355
2023/07/31,マーケティング部,商品E,47477
2023/07/31,開発部,商品E,25643
