日付,部署,商品,金額
2023/05/01,総務部,商品E,94848
2023/05/02,マーケティング部,商品A,57235
2023/05/03,総務部,商品E,62872
2023/05/04,マーケティング部,商品A,54077
2023/05/05,営業部,商品B,35265
2023/05/06,マーケティング部,商品E,82264
2023/05/07,マーケティング部,商品B,63368
2023/05/08,開発部,商品C,95404
2023/05/09,開発部,商品D,49602
2023/05/09,総務部,商品C,44229
2023/05/12,マーケティング部,商品E,68471
2023/05/12,総務部,商品B,43903
2023/05/13,営業部,商品B,85007
2023/05/13,総務部,商品B,13336
2023/05/14,営業部,商品A,72140
2023/05/17,開発部,商品A,88647
2023/05/20,総務部,商品C,65549
2023/05/20,総務部,商品C,99707
2023/05/21,営業部,商品A,41711
2023/05/21,総務部,商品B,29651
2023/05/21,マーケティング部,商品C,44003
2023/05/22,マーケティング部,商品E,23410
2023/05/23,開発部,商品C,58280
2023/05/24,マーケティング部,商品E,59009
2023/05/24,営業部,商品C,13597
2023/05/24,営業部,商品E,84978
2023/05/25,開発部,商品B,94853
2023/05/26,営業部,商品B,43081
2023/05/27,営業部,商品E,30836
2023/05/27,マーケティング部,商品E,62028
2023/05/27,開発部,商品C,39145
2023/05/29,開発部,商品A,42701
2023/05/29,マーケティング部,商品C,70161
2023/05/30,開発部,商品B,88792
2023/05/30,マーケティング部,商品D,60891
