日付,部署,商品,金額
2023/02/01,営業部,商品A,42053
2023/02/02,マーケティング部,商品C,60197
2023/02/02,開発部,商品C,22193
2023/02/02,開発部,商品E,64140
2023/02/03,マーケティング部,商品A,58354
2023/02/03,開発部,商品B,86638
2023/02/04,営業部,商品B,39253
2023/02/04,開発部,商品A,31544
2023/02/05,開発部,商品A,82465
2023/02/05,開発部,商品C,44208
2023/02/07,総務部,商品E,49834
2023/02/07,開発部,商品D,74491
2023/02/08,マーケティング部,商品C,45554
2023/02/09,営業部,商品D,69663
2023/02/09,営業部,商品E,98358
2023/02/11,マーケティング部,商品C,40619
2023/02/12,営業部,商品C,10191
2023/02/14,営業部,商品B,80981
2023/02/15,総務部,商品C,52899
2023/02/17,総務部,商品A,75484
2023/02/19,マーケティング部,商品B,81638
2023/02/19,営業部,商品E,27499
2023/02/19,営業部,商品D,96827
2023/02/21,マーケティング部,商品A,87580
2023/02/23,総務部,商品D,21128
2023/02/24,営業部,商品B,76692
2023/02/24,開発部,商品D,58270
2023/02/25,開発部,商品B,10835
2023/02/25,マーケティング部,商品C,23624
2023/02/26,マーケティング部,商品B,52179
2023/02/26,営業部,商品D,19034
2023/02/27,営業部,商品E,58864
2023/02/28,開発部,商品C,30618
2023/02/28,総務部,商品D,52762
