日付,部署,商品,金額
2023/09/02,開発部,商品D,40375
2023/09/02,開発部,商品E,57349
2023/09/02,総務部,商品A,78337
2023/09/02,開発部,商品C,33597
2023/09/03,総務部,商品C,40673
2023/09/03,開発部,商品D,60523
2023/09/04,開発部,商品D,90576
2023/09/05,営業部,商品A,36522
2023/09/06,開発部,商品C,88908
2023/09/07,マーケティング部,商品E,71789
2023/09/08,営業部,商品B,85168
2023/09/11,マーケティング部,商品E,87410
2023/09/12,総務部,商品D,73191
2023/09/13,マーケティング部,商品D,16086
2023/09/13,総務部,商品E,95634
2023/09/13,開発部,商品E,63194
2023/09/14,総務部,商品A,79444
2023/09/15,開発部,商品B,20104
2023/09/17,総務部,商品B,29692
2023/09/17,営業部,商品E,29249
2023/09/17,マーケティング部,商品E,83872
2023/09/17,総務部,商品B,99861
2023/09/17,マーケティング部,商品B,89365
2023/09/18,開発部,商品D,95678
2023/09/19,開発部,商品D,57028
2023/09/19,開発部,商品D,12942
2023/09/19,開発部,商品B,92515
2023/09/20,営業部,商品E,75972
2023/09/21,総務部,商品C,85842
2023/09/21,営業部,商品C,21239
2023/09/22,マーケティング部,商品D,37617
2023/09/22,開発部,商品E,80685
2023/09/23,営業部,商品B,64344
2023/09/25,営業部,商品A,73208
2023/09/26,総務部,商品A,73113
2023/09/26,開発部,商品E,96461
2023/09/27,マーケティング部,商品E,28705
2023/09/27,営業部,商品D,78425
2023/09/28,マーケティング部,商品B,38752
2023/09/29,営業部,商品E,42975
2023/09/29,営業部,商品E,28214
